,moon_x,moon_y
73,-324729.8068796285,199792.9633829833
74,-324859.7187209998,199616.88420321452
75,-324989.51316288783,199440.73286542136
76,-325119.19015212695,199264.50942780366
77,-325248.74963561754,199088.2139485613
78,-325378.19156026037,198911.84648596056
79,-325507.5158731054,198735.40709826772
80,-325636.72252105334,198558.8958438157
81,-325765.8114511544,198382.31278092053
82,-325894.7826104089,198205.65796793168
83,-326023.63594590005,198028.93146323183
84,-326152.3714047446,197852.1333252867
85,-326280.98893404286,197675.26361249556
86,-326409.48848094436,197498.3223833574
87,-326537.86999266554,197321.30969638785
88,-326666.1334163564,197144.22561010247
89,-326794.27869929984,196967.07018303353
90,-326922.30578876194,196789.84347381289
91,-327050.21463199245,196612.54554100608
92,-327178.00517632393,196435.1764432949
93,-327305.67736912257,196257.7362393777
94,-327433.2311577709,196080.22498791976
95,-327560.66648961825,195902.642747636
96,-327687.98331214685,195724.98957732465
97,-327815.18157282245,195547.26553573392
98,-327942.2612191107,195369.47068172842
99,-328069.2221985439,195191.60507408963
100,-328196.06445863744,195013.66877173207
101,-328322.7879470067,194835.6618335369
102,-328449.3926112172,194657.5843184187
103,-328575.8783989338,194479.43628535827
104,-328702.2452577886,194301.21779332
105,-328828.4931354967,194122.92890131802
106,-328954.62197972304,193944.5696684164
107,-329080.631738216,193766.14015364595
108,-329206.5223588234,193587.64041613715
109,-329332.2937892937,193409.07051500384
110,-329457.94597744144,193230.43050937666
111,-329583.4788711148,193051.72045850227
112,-329708.8924182613,192872.94042151133
113,-329834.1865667457,192694.09045765063
114,-329959.36126453214,192515.17062625004
115,-330084.416459585,192336.18098653987
116,-330209.35209988523,192157.12159786664
117,-330334.168133497,191977.99251961012
118,-330458.86450846755,191798.79381110027
119,-330583.4411728279,191619.52553176673
120,-330707.89807477477,191440.18774103918
121,-330832.2351624058,191260.78049838042
122,-330956.45238390117,191081.3038632867
123,-331080.5496874579,190901.7578952706
124,-331204.52702132287,190722.14265389487
125,-331328.38433374313,190542.45819872202
126,-331452.12157296535,190362.7045893811
127,-331575.7386873695,190182.88188546803
128,-331699.23562525224,190002.99014669488
129,-331822.6123349935,189823.0294326576
130,-331945.8687650396,189642.99980320115
131,-332069.0048637371,189462.90131793817
132,-332192.02057961555,189282.73403674693
133,-332314.9158611543,189102.49801938937
134,-332437.6906568166,188922.19332567742
135,-332560.34491521487,188741.82001550612
136,-332682.87858489505,188561.3781487704
137,-332805.29161440337,188380.86778531538
138,-332927.58395251835,188200.28898513567
139,-333049.7555477366,188019.64180819283
140,-333171.8063488366,187838.92631451474
141,-333293.736304514,187658.14256407943
142,-333415.5453635475,187477.29061698134
143,-333537.23347466614,187296.37053326494
144,-333658.80058671517,187115.3823730912
145,-333780.2466484733,186934.32619653782
146,-333901.57160888554,186753.20206384882
147,-334022.77541678026,186572.01003518503
148,-334143.85802111943,186390.75017074056
149,-334264.8193708313,186209.42253082592
150,-334385.6594148773,186028.0271756517
151,-334506.3781023188,185846.5641655949
152,-334626.9753821674,185665.0335609659
153,-334747.451203451,185483.43542210854
154,-334867.80551534734,185301.76980944938
155,-334988.0382669011,185120.03678341527
156,-335108.1494073233,184938.236404433
157,-335228.1388857583,184756.3687329792
158,-335348.00665148336,184574.43382958023
159,-335467.75265365967,184392.43175474613
160,-335587.37684166426,184210.36256905313
161,-335706.87916465837,184028.22633307753
162,-335826.25957210205,183846.02310746224
163,-335945.5180132562,183663.75295285002
164,-336064.6544375975,183481.41592991687
165,-336183.66879446997,183299.01209932228
166,-336302.5610333837,183116.5415218752
167,-336421.33110378217,182934.0042582683
168,-336539.9789551423,182751.40036932722
169,-336658.50453709066,182568.7299158776
170,-336776.90779910405,182385.99295871166
171,-336895.1886908254,182203.1895587383
172,-337013.3471618646,182020.31977683288
173,-337131.3831618814,181837.3836739373
174,-337249.29664056876,181654.38131104346
175,-337367.0875476194,181471.31274909322
176,-337484.7558327765,181288.17804907844
177,-337602.30144584883,181104.97727212377
178,-337719.72433659603,180921.71047920448
179,-337837.0244548775,180738.3777314951
180,-337954.20175055193,180554.97909005397
181,-338071.2561734624,180371.5146160888
182,-338188.1876736336,180187.98437074106
183,-338304.99620090856,180004.3884152518
184,-338421.6817053291,179820.72681081222
185,-338538.24413688737,179636.99961876307
186,-338654.6834456252,179453.20690031222
187,-338770.99958163453,179269.34871683372
188,-338887.19249499065,179085.42512966826
189,-339003.26213580207,178901.43620020655
190,-339119.2084542435,178717.38198983917
191,-339235.03140055656,178533.2625599734
192,-339350.7309248829,178349.07797213283
193,-339466.30697753053,178164.8282877745
194,-339581.7595087573,177980.51356838888
195,-339697.0884688547,177796.13387558248
196,-339812.29380816396,177611.68927084576
197,-339927.3754770759,177427.17981588512
198,-340042.333425965,177242.6055722738
199,-340157.16760528873,177057.96660165192
200,-340271.8779654716,176873.26296574244
201,-340386.4644570539,176688.4947262517
202,-340500.9270305101,176503.66194491924
203,-340615.2656363971,176318.76468353465
204,-340729.48022527253,176133.80300383753
205,-340843.570747793,175948.77696770037
206,-340957.5371545491,175763.68663702902
207,-341071.3793962644,175578.53207359635
208,-341185.0974235959,175393.31333939117
209,-341298.69118730014,175208.03049635256
210,-341412.16063810064,175022.68360635306
211,-341525.5057268207,174837.27273154786
212,-341638.72640426684,174651.79793382596
213,-341751.82262131176,174466.2592753258
214,-341864.7943287627,174280.6568180365
215,-341977.64147765836,174094.99062414613
216,-342090.36401882226,173909.2607557766
217,-342202.96190327685,173723.4672750664
218,-342315.4350820282,173537.61024422038
219,-342427.7835060659,173351.68972544352
220,-342540.00712652865,173165.70578100713
221,-342652.105894456,172979.6584731661
222,-342764.07976095343,172793.54786422494
223,-342875.92867724324,172607.37401655482
224,-342987.6525944644,172421.13699247697
225,-343099.2514638058,172234.83685437922
226,-343210.72523657256,172048.47366469886
227,-343322.0738640201,171862.04748585713
228,-343433.2972974204,171675.55838030807
229,-343544.39548816177,171489.0064106222
230,-343655.36838756595,171302.39163928703
231,-343766.2159470879,171115.71412883973
232,-343876.9381181158,170928.97394188412
233,-343987.5348520881,170742.17114102398
234,-344098.0061005591,170555.30578891284
235,-344208.3518149836,170368.37794820435
236,-344318.57194696605,170181.38768161854
237,-344428.6664480445,169994.3350518423
238,-344538.63526988967,169807.22012167872
239,-344648.4783641059,169620.04295381473
240,-344758.1956823311,169432.80361115315
241,-344867.7871763691,169245.50215651377
242,-344977.25279784075,169058.1386526998
243,-345086.59249861643,168870.71316268048
244,-345195.80623041705,168683.22574935874
245,-345304.89394514606,168495.67647560424
